"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","3","","","","MilestoneTests","CreateNewMilestoneByAuthorizedUser","Create new milestone by authorized user",""
"passed","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","2","","","","LabelTests","NewLabelTest","Create new label via API",""
"passed","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","21","","","","LabelTests","AddLabelToExistingIssueByAuthorizedUser","Add label to existing issue by authorized user",""
"broken","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","4","","","","LabelTests","DeleteExistingLabelByAuthorizedUser","Delete existing label by authorized user",""
"passed","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","46","","","","LabelTests","DeleteLabelTest","Delete label via API",""
"broken","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","19","","","","LabelTests","CreateNewLabelByAuthorizedUser","Create new label by authorized user",""
"passed","Fri Oct 27 11:33:07 GMT 2023","Fri Oct 27 11:33:07 GMT 2023","6","","","","MilestoneTests","CloseMilestoneByAuthorizedUser","Close existing milestone by authorized user",""
